                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.73818,                0.80574,                  1.099,                0.79518,                0.71402,                0.81018,                0.65689,                0.68463,                0.74669,                 1.0752,             0.00036307,             0.00036307,             0.00036307
                     36,                0.73686,                0.80179,                 1.0975,                0.77422,                0.73271,                 0.8141,                 0.6573,                0.66993,                0.74628,                 1.0626,             0.00034108,             0.00034108,             0.00034108
                     37,                0.73544,                0.79876,                 1.0957,                0.77283,                0.74219,                0.82095,                0.66516,                0.66679,                0.72465,                 1.0627,             0.00031908,             0.00031908,             0.00031908
                     38,                0.72436,                0.78876,                 1.0928,                0.77639,                0.74088,                0.81526,                0.66091,                0.66073,                0.73564,                 1.0623,             0.00029708,             0.00029708,             0.00029708
                     39,                0.72628,                0.76843,                 1.0881,                0.78322,                0.75128,                0.82105,                0.66485,                0.66613,                 0.7158,                 1.0615,             0.00027508,             0.00027508,             0.00027508
                     40,                0.71617,                 0.7695,                 1.0894,                0.77461,                 0.7425,                0.81981,                0.66823,                0.65687,                0.71914,                  1.057,             0.00025309,             0.00025309,             0.00025309
                     41,                0.65563,                 0.6548,                 1.0534,                0.79314,                0.73666,                0.82404,                0.66917,                0.65599,                0.72362,                  1.053,             0.00023109,             0.00023109,             0.00023109
                     42,                0.64914,                 0.6393,                 1.0538,                0.78842,                0.74986,                0.82812,                0.67372,                0.66118,                0.71131,                 1.0619,             0.00020909,             0.00020909,             0.00020909
                     43,                0.65127,                0.62826,                 1.0577,                0.79891,                0.74273,                0.82831,                0.67448,                0.65093,                0.70645,                 1.0505,             0.00018709,             0.00018709,             0.00018709
                     44,                0.63534,                0.61642,                 1.0402,                0.79815,                0.74723,                 0.8319,                0.67896,                0.65421,                0.70327,                 1.0522,             0.00016509,             0.00016509,             0.00016509
                     45,                0.62625,                0.59542,                 1.0346,                0.79652,                0.75326,                0.83145,                0.68056,                0.64818,                0.70243,                 1.0485,              0.0001431,              0.0001431,              0.0001431
                     46,                 0.6293,                0.58381,                 1.0349,                0.80258,                0.74327,                0.83061,                0.67884,                0.64884,                0.70594,                 1.0532,              0.0001211,              0.0001211,              0.0001211
                     47,                0.61999,                0.58308,                 1.0296,                0.80371,                 0.7554,                0.83835,                0.68683,                0.64986,                0.68444,                 1.0485,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.61239,                0.55955,                 1.0192,                0.80458,                0.75178,                0.83527,                0.68387,                0.64718,                0.68827,                 1.0469,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.61126,                0.55916,                 1.0215,                0.79077,                0.75888,                0.83732,                0.68534,                0.64177,                0.68726,                 1.0436,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.60385,                 0.5531,                 1.0122,                0.79559,                0.75702,                0.83902,                0.68887,                0.64066,                0.68214,                 1.0424,             3.3108e-05,             3.3108e-05,             3.3108e-05
